country,temp
Afghanistan,3.32
Aland,3.01
Albania,1.97
Algeria,2.86
American Samoa,1.43
Andorra,2.75
Angola,1.61
Anguilla,1.91
Antarctica,1.05
Antigua and Barbuda,1.86
Argentina,1.11
Armenia,2.38
Aruba,1.31
Australia,1.4
Austria,2.9
Azerbaijan,2.57
Bahamas,1.53
Bahrain,3.13
Baker Island,1.22
Bangladesh,0.9
Barbados,1.66
Belarus,3.16
Belgium,2.84
Belize,1.23
Benin,1.82
Bhutan,1.25
Bolivia,0.65
Bosnia and Herzegovina,2.61
Botswana,1.38
Brazil,1.7
British Virgin Islands,1.88
Bulgaria,2.01
Burkina Faso,1.79
Burma,0.99
Burundi,1.9
Cambodia,1.05
Cameroon,1.61
Canada,3.64
Cape Verde,2.09
Cayman Islands,1.47
Central African Republic,1.78
Chad,2.07
Chile,0.96
China,2.09
Colombia,1.23
Comoros,1.92
Congo,1.47
Democratic Republic of the Congo,1.47
Costa Rica,1.6
Côte d'Ivoire,1.8
Croatia,2.82
Cuba,1.46
Curaçao,1.32
Cyprus,1.92
Czech Republic,2.73
Denmark,3.56
Denmark (Europe),2.86
Djibouti,2.29
Dominica,1.75
Dominican Republic,1.67
Ecuador,1.31
Egypt,2.03
El Salvador,1.41
Equatorial Guinea,1.48
Eritrea,2.29
Estonia,3.01
Ethiopia,2.19
Falkland Islands,1.37
Faroe Islands,1.74
Federated States of Micronesia,1.79
Fiji,1.3
Finland,3.03
France,2.6
French Guiana,1.85
French Polynesia,1.58
French Southern and Antarctic Lands,1.67
Gabon,1.47
Gambia,1.86
Gaza Strip,2.05
Georgia,2.1
Germany,2.81
Ghana,1.75
Greece,1.78
Greenland,3.57
Grenada,1.62
Guadeloupe,1.83
Guam,1.24
Guatemala,1.22
Guernsey,2.5
Guinea,1.8
Guinea-Bissau,1.85
Guyana,1.62
Haiti,1.54
Heard Island and McDonald Islands,1.49
Honduras,1.44
Hong Kong,0.83
Hungary,2.55
Iceland,2.37
India,1.44
Indonesia,1.21
Iran,3.52
Iraq,2.54
Ireland,2.03
Isle of Man,2.3
Israel,2.03
Italy,2.64
Jamaica,1.46
Japan,1.66
Jersey,2.5
Jordan,2.1
Kazakhstan,2.48
Kenya,1.86
Kiribati,1.73
Kuwait,2.86
Kyrgyzstan,2.47
Laos,0.96
Latvia,3.05
Lebanon,1.97
Lesotho,1.17
Liberia,1.81
Libya,2.54
Liechtenstein,2.83
Lithuania,2.98
Luxembourg,2.83
Macau,0.79
Macedonia,2.03
Madagascar,1.93
Malawi,1.94
Malaysia,1.27
Mali,1.94
Malta,2.74
Martinique,1.75
Mauritania,2.28
Mauritius,2.03
Mayotte,1.89
Mexico,1.58
Moldova,2.38
Monaco,2.76
Mongolia,2.92
Montenegro,2.14
Montserrat,1.85
Morocco,2.71
Mozambique,1.73
Namibia,1.51
Nepal,1.65
Netherlands,2.89
Netherlands (Europe),2.92
New Caledonia,1.81
New Zealand,0.97
Nicaragua,1.55
Niger,2.27
Nigeria,1.88
Niue,1.38
North Korea,2.44
Northern Mariana Islands,1.24
Norway,3.15
Oman,2.96
Pakistan,2.72
Palau,0.91
Palestina,1.71
Palmyra Atoll,1.72
Panama,1.52
Papua New Guinea,1.24
Paraguay,1.18
Peru,0.95
Philippines,0.97
Poland,2.79
Portugal,2.32
Puerto Rico,1.84
Qatar,3.3
Reunion,2
Romania,2.18
Russian Federation,3.39
Rwanda,1.87
Saint Barth�lemy,1.91
Saint Kitts and Nevis,1.83
Saint Lucia,1.66
Saint Martin,1.91
Saint Pierre and Miquelon,2.35
Saint Vincent and the Grenadines,1.65
Samoa,1.41
San Marino,2.86
Sao Tome and Principe,1.54
Saudi Arabia,2.58
Senegal,1.87
Serbia,2.27
Seychelles,1.8
Sierra Leone,1.82
Singapore,1.45
Sint Maarten,1.91
Slovakia,2.51
Slovenia,3.07
Solomon Islands,1.62
Somalia,2.14
South Africa,1.23
South Georgia and the South Sandwich Isla,1.85
South Korea,2
Spain,2.57
Sri Lanka,1.37
Sudan,2.04
South Sudan,2.04
Suriname,1.75
Svalbard and Jan Mayen,5.45
Swaziland,1.43
Sweden,2.95
Switzerland,2.83
Syria,1.95
Taiwan,1.46
Tajikistan,2.66
Tanzania,1.98
Thailand,1.07
Timor-Leste,0.9
Togo,1.75
Tonga,1.34
Trinidad and Tobago,1.6
Tunisia,3.12
Turkey,1.6
Turkmenistan,3.19
Turks and Caicas Islands,1.5
Uganda,1.78
Ukraine,2.66
United Arab Emirates,3.36
United Kingdom,2.3
United States,2.36
Uruguay,1.56
Uzbekistan,2.72
Venezuela,1.33
Vietnam,0.91
Virgin Islands,1.88
Western Sahara,2.49
Yemen,2.5
Zambia,1.77
Zimbabwe,1.50